lat,long,hot,cold,tz
-26, 7.888889e+01,NA,NA,NA
-26, 8.000000e+01,NA,NA,NA
-26, 8.111111e+01,NA,NA,NA
-26, 8.222222e+01,NA,NA,NA
-26, 8.333333e+01,NA,NA,NA
-26, 8.444444e+01,NA,NA,NA
-26, 8.555556e+01,NA,NA,NA
-26, 8.666667e+01,NA,NA,NA
-26, 8.777778e+01,NA,NA,NA
-26, 8.888889e+01,NA,NA,NA
-26, 9.000000e+01,NA,NA,NA
-26, 9.111111e+01,NA,NA,NA
-26, 9.222222e+01,NA,NA,NA
-26, 9.333333e+01,NA,NA,NA
-26, 9.444444e+01,NA,NA,NA
-26, 9.555556e+01,NA,NA,NA
-26, 9.666667e+01,NA,NA,NA
-26, 9.777778e+01,NA,NA,NA
-26, 9.888889e+01,NA,NA,NA
-26, 1.000000e+02,NA,NA,NA
-26, 1.011111e+02,NA,NA,NA
-26, 1.022222e+02,NA,NA,NA
-26, 1.033333e+02,NA,NA,NA
-26, 1.044444e+02,NA,NA,NA
-26, 1.055556e+02,NA,NA,NA
-26, 1.066667e+02,NA,NA,NA
-26, 1.077778e+02,NA,NA,NA
-26, 1.088889e+02,NA,NA,NA
-26, 1.100000e+02,NA,NA,NA
-26, 1.111111e+02,NA,NA,NA
-26, 1.122222e+02,NA,NA,NA
-26, 1.133333e+02,NA,NA,NA
-26, 1.144444e+02,NA,NA,NA
-26, 1.155556e+02,NA,NA,NA
-26, 1.166667e+02,NA,NA,NA
-26, 1.177778e+02,NA,NA,NA
-26, 1.188889e+02,NA,NA,NA
-26, 1.200000e+02,NA,NA,NA
-26, 1.211111e+02,NA,NA,NA
-26, 1.222222e+02,NA,NA,NA
-26, 1.233333e+02,NA,NA,NA
-26, 1.244444e+02,NA,NA,NA
-26, 1.255556e+02,NA,NA,NA
-26, 1.266667e+02,NA,NA,NA
-26, 1.277778e+02,NA,NA,NA
-26, 1.288889e+02,NA,NA,NA
-26, 1.300000e+02,NA,NA,NA
-26, 1.311111e+02,NA,NA,NA
-26, 1.322222e+02,NA,NA,NA
-26, 1.333333e+02,NA,NA,NA
-26, 1.344444e+02,NA,NA,NA
-26, 1.355556e+02,NA,NA,NA
-26, 1.366667e+02,NA,NA,NA
-26, 1.377778e+02,NA,NA,NA
-26, 1.388889e+02,NA,NA,NA
-26, 1.400000e+02,NA,NA,NA
-26, 1.411111e+02,NA,NA,NA
-26, 1.422222e+02,NA,NA,NA
-26, 1.433333e+02,NA,NA,NA
-26, 1.444444e+02,NA,NA,NA
-26, 1.455556e+02,NA,NA,NA
-26, 1.466667e+02,NA,NA,NA
-26, 1.477778e+02,NA,NA,NA
-26, 1.488889e+02,NA,NA,NA
-26, 1.500000e+02,NA,NA,NA
-26, 1.511111e+02,NA,NA,NA
-26, 1.522222e+02,NA,NA,NA
-26, 1.533333e+02,NA,NA,NA
-26, 1.544444e+02,NA,NA,NA
-26, 1.555556e+02,NA,NA,NA
-26, 1.566667e+02,NA,NA,NA
-26, 1.577778e+02,NA,NA,NA
-26, 1.588889e+02,NA,NA,NA
-26, 1.600000e+02,NA,NA,NA
-26, 1.611111e+02,NA,NA,NA
-26, 1.622222e+02,NA,NA,NA
-26, 1.633333e+02,NA,NA,NA
-26, 1.644444e+02,NA,NA,NA
-26, 1.655556e+02,NA,NA,NA
-26, 1.666667e+02,NA,NA,NA
-26, 1.677778e+02,NA,NA,NA
-26, 1.688889e+02,NA,NA,NA
-26, 1.700000e+02,NA,NA,NA
-26, 1.711111e+02,NA,NA,NA
-26, 1.722222e+02,NA,NA,NA
-26, 1.733333e+02,NA,NA,NA
-26, 1.744444e+02,NA,NA,NA
-26, 1.755556e+02,NA,NA,NA
-26, 1.766667e+02,NA,NA,NA
-26, 1.777778e+02,NA,NA,NA
-26, 1.788889e+02,NA,NA,NA
-26, 1.800000e+02,NA,NA,NA
 27,-1.788785e+02,NA,NA,NA
 27,-1.777570e+02,NA,NA,NA
 27,-1.766355e+02,NA,NA,NA
 27,-1.755140e+02,NA,NA,NA
 27,-1.743925e+02,NA,NA,NA
 27,-1.732710e+02,NA,NA,NA
 27,-1.721495e+02,NA,NA,NA
 27,-1.710280e+02,NA,NA,NA
 27,-1.699065e+02,NA,NA,NA
 27,-1.687850e+02,NA,NA,NA
 27,-1.676636e+02,NA,NA,NA
 27,-1.665421e+02,NA,NA,NA
 27,-1.654206e+02,NA,NA,NA
 27,-1.642991e+02,NA,NA,NA
 27,-1.631776e+02,NA,NA,NA
 27,-1.620561e+02,NA,NA,NA
 27,-1.609346e+02,NA,NA,NA
 27,-1.598131e+02,NA,NA,NA
 27,-1.586916e+02,NA,NA,NA
 27,-1.575701e+02,NA,NA,NA
 27,-1.564486e+02,NA,NA,NA
 27,-1.553271e+02,NA,NA,NA
 27,-1.542056e+02,NA,NA,NA
 27,-1.530841e+02,NA,NA,NA
 27,-1.519626e+02,NA,NA,NA
 27,-1.508411e+02,NA,NA,NA
 27,-1.497196e+02,NA,NA,NA
 27,-1.485981e+02,NA,NA,NA
 27,-1.474766e+02,NA,NA,NA
 27,-1.463551e+02,NA,NA,NA
 27,-1.452336e+02,NA,NA,NA
 27,-1.441121e+02,NA,NA,NA
 27,-1.429907e+02,NA,NA,NA
 27,-1.418692e+02,NA,NA,NA
 27,-1.407477e+02,NA,NA,NA
 27,-1.396262e+02,NA,NA,NA
 27,-1.385047e+02,NA,NA,NA
 27,-1.373832e+02,NA,NA,NA
 27,-1.362617e+02,NA,NA,NA
